Player,Team,Impact/Mat,Total Impact,Matches,Runs,Wkts
1Sunil Narine,KKR,98.4,787.2,8,357,10
2Jasprit Bumrah,MI,64.2,578.5,9,11,14
3Andre Russell,KKR,55.5,444.4,8,179,9
4Abhishek Sharma,SRH,52.8,422.4,8,288,0
5Sanju Samson,RR,45.9,413.5,9,385,0
6Travis Head,SRH,59,413.2,7,325,0
7Marcus Stoinis,LSG,45.5,410.2,9,254,3
8Rashid Khan,GT,45.3,407.7,9,84,8
9Kuldeep Yadav,DC,56.9,398.7,7,1,12
10Jake Fraser-McGurk,DC,78.2,391.2,5,247,0
11Riyan Parag,RR,42.8,385.2,9,332,0
12KL Rahul,LSG,42.6,383.5,9,378,0
13Trent Boult,RR,41.4,372.9,9,0,10
14Sam Curran,PBKS,41.1,370.4,9,152,12
15Axar Patel,DC,36.6,366.8,10,134,7
16Shashank Singh,PBKS,39.3,354.3,9,263,0
17Shivam Dube,CSK,44.1,353.2,8,311,0
18Arshdeep Singh,PBKS,39.1,352,9,0,12
19Jos Buttler,RR,43.5,348.7,8,319,0
20Virat Kohli,RCB,38.4,346,9,430,0
21Khaleel Ahmed,DC,34.4,344.1,10,0,12
22Nicholas Pooran,LSG,37.5,338.2,9,291,0
23Phil Salt,KKR,41.7,334,8,324,0
24Harshit Rana,KKR,47.5,332.6,7,0,9
25Yuzvendra Chahal,RR,36.7,330.4,9,0,13
26Kagiso Rabada,PBKS,36.6,329.6,9,9,10
27Shubman Gill,GT,36.5,329.3,9,304,0
28Matheesha Pathirana,CSK,64.8,324.4,5,0,11
29Rishabh Pant,DC,32.2,322.2,10,371,0
30Harshal Patel,PBKS,35.4,318.8,9,1,14
31Ruturaj Gaikwad,CSK,39.7,318.1,8,349,0
32Tilak Varma,MI,33.9,305.7,9,336,0
33Rohit Sharma,MI,33.6,302.4,9,311,0
34Yashasvi Jaiswal,RR,32.4,292.2,9,249,0
35Harpreet Brar,PBKS,32,288.4,9,58,4
36Sandeep Sharma,RR,71.8,287.4,4,0,8
37Pat Cummins,SRH,35.4,283.3,8,37,10
38Heinrich Klaasen,SRH,35.1,281.3,8,275,0
39Tristan Stubbs,DC,27.6,276.7,10,273,2
40Sai Sudharsan,GT,29.8,268.2,9,334,0
41Dinesh Karthik,RCB,29.6,267,9,262,0
42Prabhsimran Singh,PBKS,29.5,265.8,9,208,0
43Mustafizur Rahman,CSK,37.6,263.2,7,0,12
44Rajat Patidar,RCB,28.2,254.5,9,211,0
45Ravindra Jadeja,CSK,31.5,252.4,8,157,4
46Ashutosh Sharma,PBKS,41.9,251.7,6,159,0
47Gerald Coetzee,MI,31,248.6,8,5,12
48T Natarajan,SRH,40.7,244.5,6,0,12
49Avesh Khan,RR,26.7,240.6,9,0,9
50Krunal Pandya,LSG,26.4,238.4,9,73,5
51Varun Chakravarthy,KKR,29.2,233.7,8,0,8
52Ishan Kishan,MI,25.5,229.5,9,212,0
53Quinton de Kock,LSG,25,225.8,9,236,0
54Yash Dayal,RCB,28.1,225.1,8,0,8
55Hardik Pandya,MI,24.7,222.8,9,197,4
56Shahbaz Ahmed,SRH,27.4,219.8,8,169,3
57Liam Livingstone,PBKS,36.5,219.3,6,111,3
58Mayank Yadav,LSG,72.4,217.3,3,0,6
59Noor Ahmad,GT,30.9,216.3,7,5,6
60Faf du Plessis,RCB,23.6,213,9,264,0
61Mukesh Kumar,DC,30,210.5,7,0,13
62Jonny Bairstow,PBKS,29.9,209.9,7,204,0
63Prithvi Shaw,DC,29.4,205.8,7,185,0
64Cameron Green,RCB,28.4,199.1,7,111,6
65Tushar Deshpande,CSK,24.5,196.7,8,0,6
66Rachin Ravindra,CSK,27,189.2,7,133,0
67Jaydev Unadkat,SRH,31.3,187.8,6,14,7
68Deepak Chahar,CSK,30.8,185.2,6,0,5
69Bhuvneshwar Kumar,SRH,22.8,183.1,8,19,4
70Mohit Sharma,GT,20.3,183.1,9,2,10
71Azmatullah Omarzai,GT,30.1,180.9,6,42,4
72Mohsin Khan,LSG,29.5,177.3,6,2,7
73Nandre Burger,RR,42.9,171.9,4,0,6
74Yash Thakur,LSG,21.2,169.6,8,0,10
75Nitish Kumar Reddy,SRH,33.7,168.6,5,128,3
76Suryakumar Yadav,MI,27.5,165,6,166,0
